Song,Lyrics,Love Count
"
            
              ​the 1
              Lyrics
              
                

              
            
          ","[Verse 1]I'm doing good, I'm on some new shitBeen saying ""yes"" instead of ""no""I thought I saw you at the bus stop, I didn't thoughI hit the ground running each nightI hit the Sunday matinéeYou know the greatest films of all time were never made[Pre-Chorus]I guess you never know, never knowAnd if you wanted me, you really should've showedAnd if you never bleed, you're never gonna growAnd it's alright now[Chorus]But we were something, don't you think so?Roaring twenties, tossing pennies in the poolAnd if my wishes came trueIt would've been youIn my defense, I have noneFor never leaving well enough aloneBut it would've been funIf you would've been the one(Ooh)[Verse 2]I have this dream you're doing cool shitHaving adventures on your ownYou meet some woman on the internet and take her homeWe never painted by the numbers, babyBut we were making it countYou know the greatest loves of all time are over now[Pre-Chorus]I guess you never know, never knowAnd it's another day waking up alone[Chorus]But we were something, don't you think so?Roaring twenties, tossing pennies in the poolAnd if my wishes came trueIt would've been youIn my defense, I have noneFor never leaving well enough aloneBut it would've been funIf you would've been the one",2
"
            
              ​cardigan
              Lyrics
              
                

              
            
          ","[Verse 1]Vintage tee, brand new phoneHigh heels on cobblestonesWhen you are young, they assume you know nothingSequin smile, black lipstickSensual politicsWhen you are young, they assume you know nothing[Chorus]But I knew youDancin' in your Levi'sDrunk under a streetlight, II knew youHand under my sweatshirtBaby, kiss it better, I[Refrain]And when I felt like I was an old cardiganUnder someone's bedYou put me on and said I was your favorite[Verse 2]A friend to all is a friend to noneChase two girls, lose the oneWhen you are young, they assume you know nothing[Chorus]But I knew youPlaying hide-and-seek andGiving me your weekends, II knew youYour heartbeat on the High LineOnce in twenty lifetimes, I[Refrain]And when I felt like I was an old cardiganUnder someone's bedYou put me on and said I was your favorite[Bridge]To kiss in cars and downtown barsWas all we neededYou drew stars around my scarsBut now I'm bleedin'",0
"
            
              ​the last great american dynasty
              Lyrics
              
                

              
            
          ","[Verse 1]Rebekah rode up on the afternoon train, it was sunnyHer saltbox house on the coast took her mind off St. LouisBill was the heir to the Standard Oil name and moneyAnd the town said, ""How did a middle-class divorcée do it?""The wedding was charming, if a little gaucheThere's only so far new money goesThey picked out a home and called it ""Holiday House""Their parties were tasteful, if a little loudThe doctor had told him to settle downIt must have been her fault his heart gave out[Chorus]And they said""There goes the last great American dynastyWho knows, if she never showed up, what could've beenThere goes the maddest woman this town has ever seenShe had a marvelous time ruining everything""[Verse 2]Rebekah gave up on the Rhode Island set foreverFlew in all her Bitch Pack friends from the cityFilled the pool with champagne and swam with the big namesAnd blew through the money on the boys and the balletAnd losing on card game bets with Dalí[Chorus]And they said""There goes the last great American dynastyWho knows, if she never showed up, what could've beenThere goes the most shameless woman this town has ever seenShe had a marvelous time ruining everything""[Bridge]They say she was seen on occasionPacing the rocks, staring out at the midnight seaAnd in a feud with her neighborShe stole his dog and dyed it key lime greenFifty years is a long timeHoliday House sat quietly on that beachFree of women with madness, their men and bad habitsAnd then it was bought by me",5
"
            
              ​exile (Ft. Bon Iver)
              Lyrics
              
                

              
            
          ","[Verse 1: Justin Vernon]I can see you standing, honeyWith his arms around your bodyLaughin', but the joke's not funny at allAnd it took you five whole minutesTo pack us up and leave me with itHoldin' all this love out here in the hall[Chorus: Justin Vernon]I think I've seen this film beforeAnd I didn't like the endingYou're not my homeland anymoreSo what am I defending now?You were my town, now I'm in exile, seein' you outI think I've seen this film before[Post-Chorus: Justin Vernon]Ooh, ooh, ooh[Verse 2: Taylor Swift]I can see you starin', honeyLike he's just your understudyLike you'd get your knuckles bloody for meSecond, third, and hundredth chancesBalancin' on breaking branchesThose eyes add insult to injury[Chorus: Taylor Swift]I think I've seen this film beforeAnd I didn't like the endingI'm not your problem anymoreSo who am I offending now?You were my crown, now I'm in exile, seein' you outI think I've seen this film beforeSo I'm leaving out the side door[Bridge: Justin Vernon, Taylor Swift & Both]So step right out, there is no amountOf crying I can do for youAll this timeWe always walked a very thin lineYou didn't even hear me out (You didn't even hear me out)You never gave a warning sign (I gave so many signs)All this timeI never learned to read your mind (Never learned to read my mind)I couldn't turn things around (You never turned things around)'Cause you never gave a warning sign (I gave so many signs)So many signs, so many signsYou didn't even see the signs",0
"
            
              ​my tears ricochet
              Lyrics
              
                

              
            
          ","[Verse 1]We gather here, we line up, weepin' in a sunlit roomAnd if I'm on fire, you'll be made of ashes, tooEven on my worst day, did I deserve, babeAll the hell you gave me?'Cause I loved you, I swear I loved you'Til my dying day[Chorus]I didn't have it in myself to go with graceAnd you're the hero flying around, saving faceAnd if I'm dead to you, why are you at the wake?Cursing my name, wishing I stayedLook at how my tears ricochet[Verse 2]We gather stones, never knowing what they'll meanSome to throw, some to make a diamond ringYou know I didn't want to have to haunt youBut what a ghostly sceneYou wear the same jewels that I gave youAs you bury me[Chorus]I didn't have it in myself to go with grace'Cause when I'd fight, you used to tell me I was braveAnd if I'm dead to you, why are you at the wake?Cursing my name, wishing I stayedLook at how my tears ricochet[Bridge]And I can go anywhere I wantAnywhere I want, just not homeAnd you can aim for my heart, go for bloodBut you would still miss me in your bonesAnd I still talk to you (When I'm screaming at the sky)And when you can't sleep at night (You hear my stolen lullabies)[Chorus]I didn't have it in myself to go with graceAnd so the battleships will sink beneath the wavesYou had to kill me, but it killed you just the sameCursing my name, wishing I stayedYou turned into your worst fearsAnd you're tossing out blame, drunk on this painCrossing out the good yearsAnd you're cursing my name, wishing I stayedLook at how my tears ricochet",6
"
            
              ​mirrorball
              Lyrics
              
                

              
            
          ","[Verse 1]I want you to knowI'm a mirrorballI'll show you every version of yourself tonightI'll get you out on the floorShimmering beautifulAnd when I break, it's in a million pieces[Chorus]Hush, when no one is around, my dearYou'll find me on my tallest tiptoesSpinning in my highest heels, loveShining just for youHush, I know they said the end is nearBut I'm still on my tallest tiptoesSpinning in my highest heels, loveShining just for you[Verse 2]I want you to knowI'm a mirrorballI can change everything about me to fit inYou are not like the regularsThe masquerade revelersDrunk as they watch my shattered edges glisten[Chorus]Hush, when no one is around, my dearYou'll find me on my tallest tiptoesSpinning in my highest heels, loveShining just for youHush, I know they said the end is nearBut I'm still on my tallest tiptoesSpinning in my highest heels, loveShining just for you[Bridge]And they called off the circus, burned the disco downWhen they sent home the horses and the rodeo clownsI'm still on that tightropeI'm still trying everything to get you laughing at meAnd I'm still a believer, but I don't know whyI've never been a natural, all I do is try, try, tryI'm still on that trapezeI'm still trying everything to keep you looking at me",0
"
            
              ​seven
              Lyrics
              
                

              
            
          ","[Verse 1]Please picture me in the treesI hit my peak at sevenFeet in the swing over the creekI was too scared to jump inBut I, I was high in the skyWith Pennsylvania under meAre there still beautiful things?[Chorus]Sweet tea in the summerCross your heart, won't tell no otherAnd though I can’t recall your faceI still got love for youYour braids like a patternLove you to the Moon and to SaturnPassed down like folk songsThe love lasts so long[Bridge]And I've been meaning to tell youI think your house is hauntedYour dad is always mad and that must be whyAnd I think you should come live with meAnd we can be piratesThen you won't have to cryOr hide in the closetAnd just like a folk songOur love will be passed on[Verse 2]Please picture me in the weedsBefore I learned civilityI used to scream ferociouslyAny time I wantedI, I[Chorus]Sweet tea in the summerCross my heart, won’t tell no otherAnd though I can't recall your faceI still got love for youPack your dolls and a sweaterWe'll move to India foreverPassed down like folk songsOur love lasts so long",2
"
            
              ​august
              Lyrics
              
                

              
            
          ","[Verse 1]Salt air, and the rust on your doorI never needed anything moreWhispers of ""Are you sure?""""Never have I ever before""[Chorus]But I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mine[Verse 2]Your back beneath the sunWishin' I could write my name on itWill you call when you're back at school?I remember thinkin' I had you[Chorus]But I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mine[Bridge]Back when we were still changin' for the betterWanting was enoughFor me, it was enoughTo live for the hope of it allCancel plans just in case you'd callAnd say, ""Meet me behind the mall""So much for summer love and saying ""us""'Cause you weren't mine to loseYou weren't mine to lose, no[Chorus]But I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mine",0
"
            
              ​this is me trying
              Lyrics
              
                

              
            
          ","[Verse 1]I've been having a hard time adjustingI had the shiniest wheels, now they're rustingI didn't know if you'd care if I came backI have a lot of regrets about thatPulled the car off the road to the lookoutCould've followed my fears all the way downAnd maybe I don't quite know what to sayBut I'm here in your doorway[Chorus]I just wanted you to know that this is me tryingI just wanted you to know that this is me trying[Verse 2]They told me all of my cages were mentalSo I got wasted like all my potentialAnd my words shoot to kill when I'm madI have a lot of regrets about thatI was so ahead of the curve, the curve became a sphereFell behind all my classmates and I ended up herePouring out my heart to a strangerBut I didn't pour the whiskey[Chorus]I just wanted you to know that this is me tryingI just wanted you to know that this is me trying[Post-Chorus]At least I'm trying[Bridge]And it's hard to be at a party when I feel like an open woundIt's hard to be anywhere these days when all I want is youYou're a flashback in a film reel on the one screen in my town[Chorus]And I just wanted you to know that this is me trying(And maybe I don't quite know what to say)I just wanted you to know that this is me trying",1
"
            
              ​illicit affairs
              Lyrics
              
                

              
            
          ","[Verse 1]Make sure nobody sees you leaveHood over your head, keep your eyes downTell your friends you're out for a runYou’ll be flushed when you returnTake the road less traveled byTell yourself you can always stopWhat started in beautiful roomsEnds with meetings in parking lots[Chorus]And that's the thing about illicit affairsAnd clandestine meetings and longing staresIt's born from just one single glanceBut it dies and it dies and it diesA million little times[Verse 2]Leave the perfume on the shelfThat you picked out just for himSo you leave no trace behindLike you don’t even existTake the words for what they areA dwindling, mercurial highA drug that only workedThe first few hundred times[Chorus]And that's the thing about illicit affairsAnd clandestine meetings and stolen staresThey show their truth one single timeBut they lie and they lie and they lieA million little times[Bridge]And you wanna screamDon't call me ""kid,"" don't call me ""baby""Look at this godforsaken mess that you made meYou showed me colors you know I can't see with anyone elseDon't call me ""kid,"" don't call me ""baby""Look at this idiotic fool that you made meYou taught me a secret language I can't speak with anyone else",1
"
            
              ​invisible string
              Lyrics
              
                

              
            
          ","[Verse 1]Green was the color of the grassWhere I used to read at Centennial ParkI used to think I would meet somebody thereTeal was the color of your shirtWhen you were sixteen at the yogurt shopYou used to work at to make a little money[Chorus]Time, curious timeGave me no compasses, gave me no signsWere there clues I didn't see?And isn't it just so pretty to thinkAll along there was someInvisible stringTying you to me?Ooh-ooh-ooh-ooh[Verse 2]Bad was the blood of the song in the cabOn your first trip to LAYou ate at my favorite spot for dinnerBold was the waitress on our three-year tripGetting lunch down by the LakesShe said I looked like an American singer[Chorus]Time, mystical timeCutting me open, then healing me fineWere there clues I didn't see?And isn't it just so pretty to thinkAll along there was someInvisible stringTying you to me?Ooh-ooh-ooh-ooh[Bridge]A string that pulled meOut of all the wrong arms, right into that dive barSomething wrapped all of my past mistakes in barbed wireChains around my demonsWool to brave the seasonsOne single thread of goldTied me to you",1
